#,Company,Symbol,Weight,Price,Chg,% Chg
38,Linde plc,LIN,0.40,463.14,3.38,0.74
39,Morgan Stanley,MS,0.40,135.39,1.39,1.04
40,Walt Disney Company The,DIS,0.39,118.66,0.91,0.77
41,Intuit,INTU,0.39,764.02,1.47,0.19
42,American Express,AXP,0.39,303.75,4.12,1.38
43,McDonald's,MCD,0.38,289.92,0.40,0.14
44,ServiceNow,NOW,0.38,990.61,10.21,1.04
45,AT&T,T,0.37,28.23,0.03,0.09
46,Goldman Sachs,GS,0.37,661.42,14.54,2.25
47,Merck & Co.,MRK,0.37,80.72,0.56,0.70
48,Uber,UBER,0.35,91.27,6.03,7.08
49,RTX Corporation,RTX,0.35,141.81,-4.00,-2.74
50,Accenture,ACN,0.34,300.38,5.38,1.82
51,Texas Instruments,TXN,0.34,204.66,3.27,1.62
52,Intuitive Surgical,ISRG,0.34,513.71,-1.38,-0.27
53,Verizon,VZ,0.33,42.61,0.24,0.58
54,PepsiCo,PEP,0.33,130.14,1.05,0.81
55,Booking Holdings,BKNG,0.32,"5,421.88",88.46,1.66
56,Caterpillar Inc.,CAT,0.32,371.09,4.86,1.33
57,Qualcomm,QCOM,0.31,155.56,2.42,1.58
58,Charles Schwab Corporation,SCHW,0.30,89.75,1.37,1.55
59,Adobe Inc.,ADBE,0.30,382.08,1.96,0.52
60,S&P Global,SPGI,0.29,517.31,2.73,0.53
61,Progressive Corporation,PGR,0.29,267.00,0.62,0.23
62,BlackRock,BLK,0.28,998.00,11.70,1.19
63,Boston Scientific,BSX,0.28,103.08,0.72,0.70
64,Boeing,BA,0.28,201.06,-0.25,-0.12
65,Thermo Fisher Scientific,TMO,0.28,401.30,1.09,0.27
66,Citigroup,C,0.28,81.06,1.70,2.15
