#,Company,Symbol,Weight,Price,Chg,% Chg
175,Hilton Worldwide,HLT,0.10,261.23,-3.88,-1.46
176,Regeneron Pharmaceuticals,REGN,0.10,577.18,0.76,0.13
177,Kinder Morgan,KMI,0.10,27.27,-0.34,-1.22
178,Sempra,SRE,0.10,91.85,-0.45,-0.48
179,Freeport-McMoRan,FCX,0.10,41.65,-0.06,-0.15
180,Digital Realty,DLR,0.10,175.00,-0.20,-0.12
181,Travelers Companies The,TRV,0.10,261.55,-7.90,-2.93
182,EOG Resources,EOG,0.10,107.61,-1.02,-0.94
183,Cummins,CMI,0.10,423.66,0.27,0.06
184,Simon Property Group,SPG,0.10,177.88,-0.49,-0.27
185,Aflac,AFL,0.10,107.38,-2.43,-2.21
186,Air Products,APD,0.09,255.11,-2.30,-0.89
187,Chipotle Mexican Grill,CMG,0.09,41.88,0.11,0.26
188,Marathon Petroleum,MPC,0.09,184.14,0.31,0.17
189,FedEx,FDX,0.09,237.02,1.22,0.52
190,Datadog,DDOG,0.09,159.74,-0.28,-0.18
191,General Motors,GM,0.09,57.61,-0.19,-0.33
192,NXP Semiconductors,NXPI,0.09,217.38,0.15,0.07
193,Truist Financial,TFC,0.09,42.42,-0.84,-1.95
194,Realty Income,O,0.09,59.66,0.20,0.34
195,Roper Technologies,ROP,0.09,500.67,0.94,0.19
196,Public Storage,PSA,0.09,305.99,4.99,1.66
197,L3Harris,LHX,0.09,286.12,-3.60,-1.24
198,Dominion Energy,D,0.09,61.81,0.12,0.19
199,MetLife,MET,0.09,79.21,-2.42,-2.96
200,Phillips 66,PSX,0.09,130.00,0.43,0.33
201,Becton Dickinson,BDX,0.09,182.88,-3.89,-2.08
202,Axon Enterprise,AXON,0.09,657.05,12.05,1.87
203,Idexx Laboratories,IDXX,0.09,643.95,4.80,0.75
204,Allstate,ALL,0.09,195.13,-5.29,-2.64
205,"Nasdaq, Inc.",NDAQ,0.08,89.33,-0.29,-0.32
206,Ross Stores,ROST,0.08,156.20,-0.79,-0.50
